GEO_ID,,GEO_ID,id,Filter1,Filter2,Filter3,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,,FIPS_CODE,fips_id,,,,Geographic Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NAME,Geographic Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRACT_NAME,tract_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COUNTY,county_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STATE,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C02_014E,,S2802_C02_014E,E-Computer-Broadband-Households-EDUCATIONAL ATTAINMENT!!Household population 25 years and over,COMPUTER,BROADBAND,EDUATTAIN,Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C02_015E,,S2802_C02_015E,E-Computer-Broadband-Households-EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency,COMPUTER,BROADBAND,EDUATTAIN,Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C02_016E,,S2802_C02_016E,"E-Computer-Broadband-Households-EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",COMPUTER,BROADBAND,EDUATTAIN,"Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C02_017E,,S2802_C02_017E,E-Computer-Broadband-Households-EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher,COMPUTER,BROADBAND,EDUATTAIN,Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_001E,different,,,COMPUTER,%BROADBAND,none,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_002E,different,,,COMPUTER,%BROADBAND,AGE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!Under 18 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_003E,different,,,COMPUTER,%BROADBAND,AGE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!18 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_004E,different,,,COMPUTER,%BROADBAND,AGE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!AGE!!65 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_005E,,S2802_C03_005E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-White alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_006E,,S2802_C03_006E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Black or African American alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_007E,,S2802_C03_007E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-American Indian and Alaska Native alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_008E,,S2802_C03_008E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Asian alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_009E,,S2802_C03_009E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Native Hawaiian and Other Pacific Islander alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_010E,,S2802_C03_010E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Some other race alone,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_011E,,S2802_C03_011E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Two or more races,COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2802_C03_012E,,S2802_C03_012E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Hispanic or Latino origin (of any race),COMPUTER,%BROADBAND,RACE,Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
