"GEO_ID","NAME","B99283_001E","B99283_002E","B99283_003E","B99283_004E","B99283_005E"
"id","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated!!Dial-up","Estimate!!Total!!Allocated!!Broadband such as cable, fiberoptic, or DSL, satellite, and other service","Estimate!!Total!!Allocated!!Cellular data plan","Estimate!!Total!!Not allocated"
"1400000US41067031617","Census Tract 316.17, Washington County, Oregon","2428","15","15","155","2273"
"1400000US41067031614","Census Tract 316.14, Washington County, Oregon","1832","57","57","217","1604"
"1400000US41067031615","Census Tract 316.15, Washington County, Oregon","1735","35","35","197","1511"
"1400000US41067031616","Census Tract 316.16, Washington County, Oregon","1770","18","18","215","1555"
"1400000US41067031812","Census Tract 318.12, Washington County, Oregon","2571","0","0","322","2249"
"1400000US41067031813","Census Tract 318.13, Washington County, Oregon","2146","38","38","289","1857"
"1400000US41067031814","Census Tract 318.14, Washington County, Oregon","1328","27","27","253","1075"
"1400000US41067031815","Census Tract 318.15, Washington County, Oregon","2608","90","90","346","2249"
"1400000US41067031907","Census Tract 319.07, Washington County, Oregon","2929","136","136","528","2335"
"1400000US41067031908","Census Tract 319.08, Washington County, Oregon","2627","105","105","370","2192"
"1400000US41067031909","Census Tract 319.09, Washington County, Oregon","1686","52","52","262","1410"
"1400000US41067031910","Census Tract 319.10, Washington County, Oregon","3232","48","48","373","2859"
"1400000US41067031911","Census Tract 319.11, Washington County, Oregon","2167","93","93","322","1845"
"1400000US41067031912","Census Tract 319.12, Washington County, Oregon","1658","27","27","188","1462"
"1400000US41067032003","Census Tract 320.03, Washington County, Oregon","1859","57","57","214","1642"
"1400000US41067032004","Census Tract 320.04, Washington County, Oregon","868","11","11","74","794"
"1400000US41067032005","Census Tract 320.05, Washington County, Oregon","2035","62","62","146","1880"
"1400000US41067032107","Census Tract 321.07, Washington County, Oregon","773","4","4","107","666"
"1400000US41067032108","Census Tract 321.08, Washington County, Oregon","1529","23","23","149","1380"
"1400000US41067032109","Census Tract 321.09, Washington County, Oregon","1034","16","16","160","869"
"1400000US41067032110","Census Tract 321.10, Washington County, Oregon","969","28","28","84","879"
"1400000US41067032407","Census Tract 324.07, Washington County, Oregon","1900","36","36","162","1738"
"1400000US41067032408","Census Tract 324.08, Washington County, Oregon","2930","87","87","490","2440"
"1400000US41067032409","Census Tract 324.09, Washington County, Oregon","1524","36","36","117","1398"
"1400000US41039002202","Census Tract 22.02, Lane County, Oregon","2950","146","146","376","2477"
"1400000US41039003800","Census Tract 38, Lane County, Oregon","3561","34","34","240","3321"
"1400000US41039004200","Census Tract 42, Lane County, Oregon","1470","24","24","186","1284"
"1400000US41039004600","Census Tract 46, Lane County, Oregon","1270","18","18","148","1122"
"1400000US41039005100","Census Tract 51, Lane County, Oregon","1518","0","0","114","1404"
"1400000US41039003202","Census Tract 32.02, Lane County, Oregon","1802","39","39","249","1553"
"1400000US41039002501","Census Tract 25.01, Lane County, Oregon","1766","37","37","174","1592"
"1400000US41039002700","Census Tract 27, Lane County, Oregon","1594","44","44","256","1338"
"1400000US41039003201","Census Tract 32.01, Lane County, Oregon","1253","64","64","152","1065"
"1400000US41039001202","Census Tract 12.02, Lane County, Oregon","1762","26","26","224","1527"
"1400000US41039001500","Census Tract 15, Lane County, Oregon","1978","50","50","275","1703"
"1400000US41039001801","Census Tract 18.01, Lane County, Oregon","1962","23","23","184","1778"
"1400000US41039005400","Census Tract 54, Lane County, Oregon","2337","84","84","305","2015"
"1400000US41039004300","Census Tract 43, Lane County, Oregon","2812","187","187","372","2389"
"1400000US41039004700","Census Tract 47, Lane County, Oregon","1686","44","44","245","1430"
"1400000US41039005000","Census Tract 50, Lane County, Oregon","2240","101","101","414","1826"
"1400000US41039004403","Census Tract 44.03, Lane County, Oregon","2490","41","41","194","2288"
"1400000US41039004800","Census Tract 48, Lane County, Oregon","2059","40","40","280","1779"
"1400000US41039000903","Census Tract 9.03, Lane County, Oregon","2010","31","31","324","1680"
"1400000US41039001302","Census Tract 13.02, Lane County, Oregon","2109","47","47","260","1833"
"1400000US41039001600","Census Tract 16, Lane County, Oregon","1980","75","75","252","1673"
"1400000US41039002101","Census Tract 21.01, Lane County, Oregon","1099","31","31","112","979"
"1400000US41039003400","Census Tract 34, Lane County, Oregon","2002","17","17","189","1806"
"1400000US41039002102","Census Tract 21.02, Lane County, Oregon","2957","157","157","395","2562"
