fips_id,E_Computer_Broadband_Household
41047002304,6570
41047002400,3592
41047002501,8642
41047002502,4801
41047002600,1825
41047002700,7629
41047002800,3872
41047010100,1190
41047010201,2351
41047010202,6614
41047010303,4067
41047010304,4691
41047010305,3588
41047010306,7963
41047010307,4891
41047010400,3565
41047010501,4837
41047010502,5846
41047010503,3408
41047010600,1809
41047010701,7464
41047010702,6194
41047010801,5344
41047010802,6388
41049970100,6366
41049970200,2420
41051000100,6120
41051000200,5413
41051000301,4338
41051000302,6910
41051000401,3441
41051000402,3327
41051000501,3507
41051000502,4636
41051000601,4828
41051000602,5682
41051000701,4402
41051000702,4598
41051000801,4527
41051000802,4707
41051000901,4427
41051000902,4506
41051001000,5522
41051001101,1923
41051001102,1517
41051001201,4780
41051001202,3249
41051001301,3723
41051001302,3347
41051001400,5412
41051001500,3427
41051001601,5205
41051001602,3841
41051001701,6850
41051001702,3727
41051001801,3949
41051001802,3398
41051001900,4854
41051002000,5797
41051002100,2375
41051002203,3515
41051002303,1792
41051002401,2667
41051002402,2901
41051002501,4595
41051002502,3958
41051002600,2780
41051002701,3140
41051002702,2823
41051002801,2898
41051002802,3177
41051002901,4203
41051002902,5133
41051002903,4823
41051003000,4836
41051003100,4779
41051003200,4253
41051003301,2756
41051003302,3013
41051003401,3398
41051003402,3771
41051003501,2990
41051003502,2438
41051003601,4667
41051003602,5996
41051003603,1416
41051003701,3934
41051003702,2509
41051003801,2780
41051003802,3265
41051003803,4170
41051003901,7062
41051003902,3188
41051004001,7408
41051004002,4515
41051004101,6936
41051004102,4840
41051004200,3880
41051004300,895
41051004500,2612
41051004601,2959
41051004602,2067
41051004700,4211
41051004800,2690
41051004900,3622
41051005000,3119
41051005100,6343
41051005200,3652
41051005500,2521
41051005600,3181
41051005700,3278
41051005800,4150
41051005900,7820
41051006001,1511
41051006002,2203
41051006100,2397
41051006200,2925
41051006300,4108
41051006402,5671
41051006403,3714
41051006404,3547
41051006501,5903
41051006502,4293
41051006601,2351
41051006602,5048
41051006701,3017
41051006702,3264
41051006801,2329
41051006802,3459
41051006900,2722
41051007000,8045
41051007100,2281
41051007201,2056
41051007202,3153
41051007300,251
41051007400,3999
41051007500,4839
41051007600,2701
41051007700,2261
41051007800,2040
41051007900,4074
41051008001,2832
41051008002,2834
41051008100,6641
41051008201,2400
41051008202,6846
41051008301,3494
41051008302,3703
41051008400,3361
41051008500,3996
41051008600,3750
41051008700,4667
41051008800,3679
41051008901,9007
41051008902,3482
41051009000,9701
41051009101,4088
41051009102,5529
41051009201,7070
41051009202,4489
41051009301,5833
41051009302,3923
41051009400,5661
41051009501,3937
41051009502,3413
41051009603,3314
41051009604,3939
41051009605,4830
41051009606,4535
41051009701,5043
41051009702,6408
41051009801,3163
41051009803,6229
41051009804,2786
41051009903,6552
41051009904,3109
41051009905,3133
41051009906,3290
41051009907,4819
41051010001,4854
41051010002,4913
41051010100,7856
41051010200,5494
41051010303,5092
41051010304,3575
41051010305,3789
41051010306,4850
41051010402,6532
41051010405,4909
41051010407,4729
41051010408,4951
41051010409,7527
41051010410,3625
41051010411,2646
41051010500,3087
41051010600,1503
41051980000,0
41053005100,1993
41053005201,8845
41053005202,9243
41053005300,9289
41053020202,5675
41053020203,2613
41053020204,4568
41053020302,9021
41053020303,3118
41053020304,5931
41053020400,4896
41053020500,5747
41055950100,1259
41057960100,2762
41057960200,1975
41057960300,2225
41057960400,6714
41057960500,1752
41057960600,1954
41057960700,1660
41057960800,2004
41057990100,0
41059940000,2107
41059950100,3218
41059950200,6061
41059950300,2589
41059950400,3750
41059950500,3961
41059950600,4466
41059950700,2144
41059950800,4557
41059950900,3819
41059951000,5596
41059951100,4198
41059951200,7493
41059951300,3498
41059951400,1875
41061970100,2542
41061970200,2571
41061970300,2008
41061970400,2439
41061970500,2845
41061970600,3324
41061970700,2372
41061970800,3164
41063960100,1444
41063960200,1466
41063960300,2454
41065970100,2703
41065970200,2777
41065970300,2630
41065970400,2342
41065970500,3123
41065970600,1980
41065970700,1147
41065970800,3042
41067030101,7799
41067030102,6598
41067030200,6225
41067030300,4244
41067030401,3906
41067030402,4574
41067030501,4187
41067030502,3632
41067030600,4578
41067030700,1012
41067030801,6075
41067030803,4394
41067030805,3636
41067030806,2736
41067030900,4396
41067031003,6912
41067031004,6640
41067031005,5443
41067031006,6250
41067031100,2471
41067031200,5946
41067031300,6131
41067031402,2877
41067031403,4797
41067031404,5288
41067031504,6583
41067031506,3597
41067031507,5632
41067031508,8933
41067031509,4753
41067031511,2837
41067031512,7499
41067031513,12423
41067031514,6730
41067031606,6077
41067031609,11622
41067031610,8253
41067031611,7247
41067031612,4008
41067031613,6744
41067031614,5251
41067031615,4721
41067031616,3151
41067031617,4818
41067031703,4837
41067031704,8644
41067031705,4654
41067031706,5451
41067031804,6534
41067031805,7503
41067031806,5442
41067031807,3417
41067031812,5243
41067031813,5321
41067031814,3852
41067031815,6668
41067031904,2847
41067031907,5299
41067031908,7629
41067031909,5110
41067031910,8690
41067031911,5264
41067031912,4343
41067032001,4703
41067032003,3808
41067032004,1980
41067032005,4113
41067032103,9890
41067032104,4796
41067032107,2158
41067032108,3864
41067032109,3199
41067032110,2388
41067032200,7602
41067032300,5905
41067032404,6199
41067032406,8698
41067032407,5237
41067032408,8402
41067032409,3686
41067032410,3521
41067032501,2168
41067032502,2220
41067032503,3710
41067032603,6389
41067032604,5480
41067032606,4833
41067032607,4135
41067032608,2325
41067032609,2280
41067032610,2696
41067032700,4732
41067032800,1008
41067032901,5470
41067032902,6958
41067033000,4816
41067033101,2498
41067033102,3098
41067033200,4546
41067033301,5109
41067033302,5348
41067033400,1702
41067033500,3863
