"GEO_ID","NAME","B28005_001E","B28005_001M","B28005_002E","B28005_002M","B28005_003E","B28005_003M","B28005_004E","B28005_004M","B28005_005E","B28005_005M","B28005_006E","B28005_006M","B28005_007E","B28005_007M","B28005_008E","B28005_008M","B28005_009E","B28005_009M","B28005_010E","B28005_010M","B28005_011E","B28005_011M","B28005_012E","B28005_012M","B28005_013E","B28005_013M","B28005_014E","B28005_014M","B28005_015E","B28005_015M","B28005_016E","B28005_016M","B28005_017E","B28005_017M","B28005_018E","B28005_018M","B28005_019E","B28005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 18 years","Margin of Error!!Total!!Under 18 years","Estimate!!Total!!Under 18 years!!Has a computer","Margin of Error!!Total!!Under 18 years!!Has a computer","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Under 18 years!!No computer","Margin of Error!!Total!!Under 18 years!!No computer","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Has a computer","Margin of Error!!Total!!18 to 64 years!!Has a computer","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!18 to 64 years!!No computer","Margin of Error!!Total!!18 to 64 years!!No computer","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Has a computer","Margin of Error!!Total!!65 years and over!!Has a computer","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Estimate!!Total!!65 years and over!!No computer","Margin of Error!!Total!!65 years and over!!No computer"
"1400000US41029000100","Census Tract 1, Jackson County, Oregon","1846","248","568","156","563","155","0","12","381","150","182","83","5","8","1113","141","953","145","6","10","616","121","331","119","160","57","165","42","107","38","4","7","75","41","28","19","58","29"
"1400000US41029000203","Census Tract 2.03, Jackson County, Oregon","3817","264","938","181","917","183","0","12","912","184","5","10","21","34","2525","204","2439","236","7","12","2293","233","139","109","86","73","354","66","290","72","0","12","270","72","20","23","64","59"
"1400000US41029001302","Census Tract 13.02, Jackson County, Oregon","10103","670","2448","413","2448","413","0","19","2379","411","69","100","0","19","6133","449","6059","467","0","19","5876","459","183","127","74","81","1522","215","1224","225","0","19","1186","226","38","43","298","188"
"1400000US41029002200","Census Tract 22, Jackson County, Oregon","4542","412","749","173","749","173","0","12","749","173","0","12","0","12","2732","330","2678","345","0","12","2640","350","38","42","54","65","1061","180","954","184","8","14","914","184","32","39","107","61"
"1400000US41005024100","Census Tract 241, Clackamas County, Oregon","5116","445","1157","286","1157","286","86","111","974","303","97","85","0","17","2884","231","2815","228","74","89","2514","237","227","131","69","55","1075","172","906","163","9","15","868","168","29","28","169","115"
"1400000US41005020600","Census Tract 206, Clackamas County, Oregon","8508","481","2302","259","2267","265","0","17","2191","269","76","98","35","55","5090","370","5039","361","0","17","4906","369","133","110","51","61","1116","161","1068","162","0","17","958","183","110","79","48","46"
"1400000US41005020303","Census Tract 203.03, Clackamas County, Oregon","5635","398","861","220","861","220","0","17","839","220","22","35","0","17","3624","336","3602","345","24","38","3445","363","133","112","22","33","1150","168","964","161","0","17","964","161","0","17","186","119"
"1400000US41005022201","Census Tract 222.01, Clackamas County, Oregon","5619","634","1131","340","960","276","0","17","851","263","109","177","171","238","3577","437","3437","432","0","17","3005","484","432","229","140","125","911","170","500","152","0","17","347","122","153","99","411","131"
"1400000US41005020800","Census Tract 208, Clackamas County, Oregon","4069","322","743","147","743","147","0","12","656","159","87","68","0","12","2674","291","2635","288","0","12","2472","318","163","84","39","33","652","105","563","101","10","15","478","110","75","58","89","47"
"1400000US41005022101","Census Tract 221.01, Clackamas County, Oregon","7040","627","1520","360","1443","349","0","17","1429","354","14","21","77","110","4115","367","3831","427","0","17","3717","426","114","86","284","214","1405","151","1205","161","2","3","1157","164","46","40","200","91"
"1400000US41005022103","Census Tract 221.03, Clackamas County, Oregon","7512","523","1704","285","1704","285","0","17","1704","285","0","17","0","17","5048","303","4983","329","0","17","4917","339","66","55","65","76","760","115","635","146","0","17","608","140","27","45","125","106"
"1400000US41005022901","Census Tract 229.01, Clackamas County, Oregon","3753","330","972","175","972","175","0","12","940","177","32","51","0","12","2237","233","2221","232","0","12","2179","234","42","48","16","17","544","112","527","109","0","12","481","102","46","40","17","28"
"1400000US41005023500","Census Tract 235, Clackamas County, Oregon","5777","726","970","533","970","533","0","17","934","532","36","40","0","17","3729","394","3629","397","0","17","3290","478","339","321","100","99","1078","222","926","210","31","50","811","217","84","68","152","109"
"1400000US41005023800","Census Tract 238, Clackamas County, Oregon","6393","542","1066","298","1066","298","0","17","1048","296","18","27","0","17","4007","429","3931","428","26","40","3718","438","187","121","76","78","1320","185","1028","196","0","17","903","156","125","139","292","172"
"1400000US41005021601","Census Tract 216.01, Clackamas County, Oregon","6405","793","1404","359","1404","359","0","17","1349","358","55","65","0","17","4061","632","3932","633","22","32","3726","614","184","151","129","140","940","200","771","184","19","28","717","189","35","38","169","122"
"1400000US41005023201","Census Tract 232.01, Clackamas County, Oregon","4280","350","697","170","691","168","0","12","670","168","21","33","6","10","2732","262","2677","267","8","12","2581","274","88","108","55","47","851","87","772","94","8","13","640","102","124","58","79","47"
