"GEO_ID","NAME","B28007_001E","B28007_001M","B28007_002E","B28007_002M","B28007_003E","B28007_003M","B28007_004E","B28007_004M","B28007_005E","B28007_005M","B28007_006E","B28007_006M","B28007_007E","B28007_007M","B28007_008E","B28007_008M","B28007_009E","B28007_009M","B28007_010E","B28007_010M","B28007_011E","B28007_011M","B28007_012E","B28007_012M","B28007_013E","B28007_013M","B28007_014E","B28007_014M","B28007_015E","B28007_015M","B28007_016E","B28007_016M","B28007_017E","B28007_017M","B28007_018E","B28007_018M","B28007_019E","B28007_019M","B28007_020E","B28007_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In the civilian labor force","Margin of Error!!Total!!In the civilian labor force","Estimate!!Total!!In the civilian labor force!!Employed","Margin of Error!!Total!!In the civilian labor force!!Employed","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription","Estimate!!Total!!In the civilian labor force!!Employed!!No computer","Margin of Error!!Total!!In the civilian labor force!!Employed!!No computer","Estimate!!Total!!In the civilian labor force!!Unemployed","Margin of Error!!Total!!In the civilian labor force!!Unemployed","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription","Estimate!!Total!!In the civilian labor force!!Unemployed!!No computer","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!No computer","Estimate!!Total!!Not in labor force","Margin of Error!!Total!!Not in labor force","Estimate!!Total!!Not in labor force!!Has a computer","Margin of Error!!Total!!Not in labor force!!Has a computer","Estimate!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Not in labor force!!No computer","Margin of Error!!Total!!Not in labor force!!No computer"
"1400000US41067030806","Census Tract 308.06, Washington County, Oregon","2265","236","1551","160","1486","142","1478","142","0","12","1442","155","36","33","8","11","65","60","65","60","0","12","65","60","0","12","0","12","714","138","667","145","0","12","599","153","68","56","47","31"
"1400000US41067031513","Census Tract 315.13, Washington County, Oregon","9050","344","6194","331","5899","326","5825","332","0","19","5766","338","59","51","74","84","295","132","295","132","0","19","295","132","0","19","0","19","2856","331","2856","331","0","19","2791","316","65","70","0","19"
"1400000US41067031514","Census Tract 315.14, Washington County, Oregon","5376","346","3187","308","3008","324","3008","324","0","17","2932","337","76","61","0","17","179","128","179","128","0","17","159","113","20","31","0","17","2189","271","2113","277","0","17","1922","284","191","94","76","59"
"1400000US41067031617","Census Tract 316.17, Washington County, Oregon","4503","385","3621","346","3511","317","3399","317","0","17","3263","343","136","105","112","102","110","75","90","71","0","17","90","71","0","17","20","33","882","264","882","264","0","17","826","255","56","73","0","17"
"1400000US41067031614","Census Tract 316.14, Washington County, Oregon","4318","243","3295","242","3153","244","3139","246","0","17","3006","258","133","90","14","22","142","71","129","69","0","17","129","69","0","17","13","20","1023","161","1003","161","0","17","990","156","13","20","20","21"
"1400000US41067031615","Census Tract 316.15, Washington County, Oregon","4114","284","2950","256","2754","253","2701","255","0","17","2475","244","226","136","53","72","196","75","196","75","0","17","158","77","38","39","0","17","1164","165","1086","161","0","17","1030","158","56","39","78","60"
"1400000US41067031616","Census Tract 316.16, Washington County, Oregon","3100","198","1999","205","1937","198","1928","196","0","12","1848","198","80","64","9","14","62","45","62","45","0","12","62","45","0","12","0","12","1101","176","956","177","0","12","748","159","208","89","145","68"
"1400000US41067031812","Census Tract 318.12, Washington County, Oregon","4637","361","3629","343","3398","309","3398","309","0","17","3191","319","207","137","0","17","231","121","231","121","0","17","231","121","0","17","0","17","1008","247","965","249","0","17","952","250","13","22","43","71"
"1400000US41067031813","Census Tract 318.13, Washington County, Oregon","4418","323","3052","375","2951","362","2864","351","0","17","2692","350","172","162","87","141","101","74","101","74","0","17","101","74","0","17","0","17","1366","230","1322","225","15","24","1307","224","0","17","44","53"
"1400000US41067031814","Census Tract 318.14, Washington County, Oregon","3122","234","2136","207","2091","211","2082","211","7","12","1932","158","143","180","9","14","45","30","45","30","0","12","45","30","0","12","0","12","986","162","986","162","0","12","943","160","43","47","0","12"
"1400000US41067031815","Census Tract 318.15, Washington County, Oregon","5530","355","3713","314","3480","264","3464","267","0","17","3382","294","82","78","16","26","233","122","233","122","0","17","233","122","0","17","0","17","1817","277","1765","276","0","17","1717","279","48","43","52","51"
"1400000US41067031907","Census Tract 319.07, Washington County, Oregon","5035","410","2449","301","2377","301","2351","296","0","17","2264","310","87","71","26","30","72","50","72","50","0","17","72","50","0","17","0","17","2586","298","2271","280","26","31","2045","292","200","143","315","115"
"1400000US41067031908","Census Tract 319.08, Washington County, Oregon","6127","339","4318","331","4235","332","4235","332","0","17","4184","335","51","60","0","17","83","71","83","71","0","17","83","71","0","17","0","17","1809","258","1767","252","0","17","1750","255","17","27","42","49"
"1400000US41067031909","Census Tract 319.09, Washington County, Oregon","3915","187","2927","152","2859","150","2859","150","0","17","2784","162","75","56","0","17","68","45","68","45","0","17","68","45","0","17","0","17","988","169","979","168","0","17","979","168","0","17","9","14"
"1400000US41067031910","Census Tract 319.10, Washington County, Oregon","7028","401","5262","421","4970","368","4970","368","0","17","4877","379","93","85","0","17","292","173","274","171","0","17","263","170","11","19","18","28","1766","272","1726","279","0","17","1713","280","13","20","40","40"
"1400000US41067031911","Census Tract 319.11, Washington County, Oregon","4346","214","3169","226","3085","227","3068","226","13","20","2912","238","143","110","17","20","84","56","84","56","0","17","78","53","6","12","0","17","1177","181","1153","177","0","17","1129","176","24","30","24","27"
"1400000US41067031912","Census Tract 319.12, Washington County, Oregon","3662","284","2615","271","2431","292","2376","294","0","12","2339","290","37","48","55","52","184","89","169","84","0","12","169","84","0","12","15","25","1047","159","931","156","0","12","914","155","17","18","116","69"
"1400000US41067032003","Census Tract 320.03, Washington County, Oregon","3531","274","2541","263","2425","254","2372","252","0","12","2215","259","157","148","53","68","116","79","116","79","0","12","106","77","10","15","0","12","990","228","826","224","0","12","772","235","54","57","164","82"
"1400000US41067032004","Census Tract 320.04, Washington County, Oregon","1761","146","1313","135","1300","134","1275","135","0","12","1252","136","23","16","25","20","13","14","13","14","0","12","13","14","0","12","0","12","448","91","421","94","5","8","405","95","11","10","27","20"
