"GEO_ID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer"
"1400000US41035971900","Census Tract 9719, Klamath County, Oregon","1548","132","1375","148","0","12","1248","152","127","64","173","71"
"1400000US41035972000","Census Tract 9720, Klamath County, Oregon","1842","129","1530","142","0","12","1443","146","87","71","312","116"
"1400000US41035970100","Census Tract 9701, Klamath County, Oregon","1330","175","1191","169","7","11","870","167","314","116","139","60"
"1400000US41035970400","Census Tract 9704, Klamath County, Oregon","532","55","473","56","0","12","396","57","77","38","59","28"
"1400000US41035971400","Census Tract 9714, Klamath County, Oregon","2020","133","1826","145","0","17","1765","142","61","54","194","88"
"1400000US41035971500","Census Tract 9715, Klamath County, Oregon","1773","119","1552","118","10","15","1207","134","335","84","221","64"
"1400000US41035971800","Census Tract 9718, Klamath County, Oregon","1070","133","864","123","0","12","826","122","38","29","206","83"
"1400000US41035970300","Census Tract 9703, Klamath County, Oregon","1256","132","1147","134","0","12","1052","132","95","65","109","62"
"1400000US41035970500","Census Tract 9705, Klamath County, Oregon","646","66","568","63","6","8","450","74","112","47","78","42"
"1400000US41035971100","Census Tract 9711, Klamath County, Oregon","1976","136","1743","140","0","17","1608","148","135","82","233","94"
"1400000US41035970700","Census Tract 9707, Klamath County, Oregon","839","65","743","69","0","12","615","67","128","52","96","42"
"1400000US41035971700","Census Tract 9717, Klamath County, Oregon","1445","112","1277","119","0","12","1164","124","113","77","168","77"
"1400000US41035971000","Census Tract 9710, Klamath County, Oregon","937","75","804","84","15","17","719","82","70","44","133","64"
"1400000US41059950500","Census Tract 9505, Umatilla County, Oregon","1789","121","1568","113","0","12","1388","139","180","90","221","80"
"1400000US41059950700","Census Tract 9507, Umatilla County, Oregon","979","110","862","118","0","12","782","120","80","56","117","59"
