"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access"
"1400000US41067031912","Census Tract 319.12, Washington County, Oregon","1658","94","1516","94","0","12","1516","94","1123","111","120","67","1396","105","373","101","25","23","0","12","0","12","15","24","127","55"
"1400000US41067032003","Census Tract 320.03, Washington County, Oregon","1859","95","1515","143","0","12","1515","143","1181","139","204","84","1293","160","325","104","54","64","0","12","0","12","16","18","328","128"
"1400000US41067032004","Census Tract 320.04, Washington County, Oregon","868","43","812","43","5","8","807","45","630","52","56","41","739","53","170","55","46","26","0","12","0","12","17","14","39","22"
"1400000US41067032005","Census Tract 320.05, Washington County, Oregon","2035","105","1723","128","0","12","1723","128","1235","159","160","78","1551","150","468","136","32","27","0","12","0","12","52","48","260","105"
"1400000US41067032107","Census Tract 321.07, Washington County, Oregon","773","38","744","42","6","10","738","44","543","57","19","15","719","49","190","49","38","23","0","12","0","12","0","12","29","22"
"1400000US41067032108","Census Tract 321.08, Washington County, Oregon","1529","80","1449","94","0","12","1449","94","1128","129","76","63","1326","94","300","83","86","46","11","16","0","12","0","12","80","44"
"1400000US41067032109","Census Tract 321.09, Washington County, Oregon","1034","43","999","57","7","10","992","57","822","67","20","17","954","58","159","52","42","23","0","12","0","12","20","30","15","16"
"1400000US41067032110","Census Tract 321.10, Washington County, Oregon","969","114","899","109","0","12","899","109","675","90","53","38","820","104","187","66","30","28","21","26","0","12","10","16","60","25"
"1400000US41067032407","Census Tract 324.07, Washington County, Oregon","1900","62","1788","99","0","17","1788","99","1333","142","85","49","1682","103","434","117","32","30","11","17","0","17","92","71","20","22"
"1400000US41067032408","Census Tract 324.08, Washington County, Oregon","2930","159","2793","178","0","17","2793","178","2342","209","52","47","2718","189","418","138","92","67","17","28","0","17","62","59","75","60"
"1400000US41067032409","Census Tract 324.09, Washington County, Oregon","1524","87","1021","137","0","17","1021","137","894","141","198","80","789","123","115","59","94","60","12","18","0","17","98","63","405","134"
"1400000US41039002202","Census Tract 22.02, Lane County, Oregon","2950","136","2721","166","0","17","2721","166","2061","204","206","127","2447","206","660","184","121","77","0","17","0","17","34","44","195","95"
"1400000US41039003800","Census Tract 38, Lane County, Oregon","3561","303","2640","334","40","46","2600","332","2361","326","381","137","2153","328","203","92","98","93","36","44","0","17","721","241","200","156"
"1400000US41039004200","Census Tract 42, Lane County, Oregon","1470","97","1226","104","0","12","1226","104","1008","116","291","119","893","108","210","72","27","24","0","12","0","12","98","53","146","66"
"1400000US41039004600","Census Tract 46, Lane County, Oregon","1270","61","1167","81","10","16","1157","80","860","104","52","33","1058","93","280","83","64","47","8","12","0","12","9","13","94","51"
"1400000US41039005100","Census Tract 51, Lane County, Oregon","1518","73","1310","94","16","20","1294","96","1077","105","127","66","1103","111","208","70","17","18","9","15","0","12","39","33","169","65"
"1400000US41039003202","Census Tract 32.02, Lane County, Oregon","1802","77","1457","113","17","18","1440","116","1087","143","108","59","1294","119","324","99","21","19","14","15","15","23","64","44","281","98"
"1400000US41039002501","Census Tract 25.01, Lane County, Oregon","1766","83","1592","90","0","17","1592","90","1243","120","91","44","1392","99","290","90","152","69","43","30","0","17","29","25","145","66"
"1400000US41039002700","Census Tract 27, Lane County, Oregon","1594","57","1300","112","0","12","1300","112","1054","124","158","67","1113","113","219","75","46","44","0","12","0","12","114","78","180","82"
"1400000US41039003201","Census Tract 32.01, Lane County, Oregon","1253","85","1117","85","12","19","1105","89","764","86","93","49","977","100","307","94","34","28","20","23","0","12","19","21","117","56"
"1400000US41039001202","Census Tract 12.02, Lane County, Oregon","1762","117","1382","128","20","25","1362","128","925","127","161","72","1143","140","413","105","69","39","6","10","0","12","67","44","313","101"
"1400000US41039001500","Census Tract 15, Lane County, Oregon","1978","257","1376","196","31","35","1345","193","970","176","155","122","959","185","296","127","215","98","79","51","0","12","87","76","515","197"
"1400000US41039001801","Census Tract 18.01, Lane County, Oregon","1962","78","1879","77","0","17","1879","77","1587","105","184","66","1683","99","292","78","69","44","0","17","0","17","28","25","55","39"
"1400000US41039005400","Census Tract 54, Lane County, Oregon","2337","89","2095","132","0","17","2095","132","1845","145","136","75","1959","142","250","100","45","42","0","17","0","17","64","52","178","109"
"1400000US41039004300","Census Tract 43, Lane County, Oregon","2812","112","2198","189","15","24","2183","184","1429","198","120","68","1946","197","677","181","123","78","64","59","0","17","111","118","503","155"
"1400000US41039004700","Census Tract 47, Lane County, Oregon","1686","101","1575","107","0","12","1575","107","1100","129","75","48","1461","109","451","113","58","34","24","21","0","12","37","46","74","33"
"1400000US41039005000","Census Tract 50, Lane County, Oregon","2240","114","2107","137","18","28","2089","136","1678","167","115","89","1944","167","395","115","48","45","16","25","0","17","75","72","58","52"
"1400000US41039004403","Census Tract 44.03, Lane County, Oregon","2490","136","1970","169","25","39","1945","172","1449","197","333","151","1599","190","483","132","47","57","0","17","13","20","176","105","344","139"
"1400000US41039004800","Census Tract 48, Lane County, Oregon","2059","180","1598","209","24","19","1574","208","1373","237","164","111","1335","227","191","88","25","30","0","12","10","16","287","150","174","87"
"1400000US41039000903","Census Tract 9.03, Lane County, Oregon","2010","149","1748","171","19","23","1729","168","1342","174","165","100","1371","190","373","119","225","107","0","17","0","17","54","54","208","100"
"1400000US41039001302","Census Tract 13.02, Lane County, Oregon","2109","138","1653","156","9","14","1644","159","1274","158","271","107","1252","176","266","83","143","66","79","49","9","14","48","36","408","104"
"1400000US41039001600","Census Tract 16, Lane County, Oregon","1980","152","1752","159","15","16","1737","158","1129","176","202","77","1234","171","460","133","289","97","130","70","0","17","30","22","198","75"
"1400000US41039002101","Census Tract 21.01, Lane County, Oregon","1099","61","842","104","8","11","834","103","643","101","95","66","716","97","169","69","49","37","12","20","0","12","32","34","225","94"
"1400000US41039003400","Census Tract 34, Lane County, Oregon","2002","90","1624","135","9","16","1615","136","1230","146","253","100","1243","151","311","90","95","71","44","56","0","17","80","62","298","95"
"1400000US41039002102","Census Tract 21.02, Lane County, Oregon","2957","138","2313","218","24","29","2289","215","1722","247","244","108","2013","216","517","127","120","79","15","23","0","17","119","84","525","167"
"1400000US41039002404","Census Tract 24.04, Lane County, Oregon","1616","67","1376","93","12","17","1364","95","971","121","118","59","1171","109","331","86","107","51","54","35","0","12","66","56","174","66"
"1400000US41039002800","Census Tract 28, Lane County, Oregon","1933","71","1686","104","17","27","1669","111","1248","145","167","97","1459","124","380","129","75","44","5","8","6","13","61","51","186","64"
"1400000US41039004100","Census Tract 41, Lane County, Oregon","1701","100","1506","111","0","12","1506","111","1170","118","77","61","1418","116","310","98","57","36","0","12","0","12","52","46","143","71"
"1400000US41039004900","Census Tract 49, Lane County, Oregon","1692","124","1577","134","0","12","1577","134","1341","150","65","41","1494","133","236","80","18","20","0","12","0","12","59","53","56","36"
"1400000US41039005300","Census Tract 53, Lane County, Oregon","1014","62","963","62","0","12","963","62","779","94","21","23","935","67","184","69","7","12","0","12","0","12","13","15","38","32"
"1400000US41039000300","Census Tract 3, Lane County, Oregon","894","76","808","81","9","14","799","80","664","85","145","73","601","67","116","47","88","45","19","19","0","12","9","10","77","34"
"1400000US41039001101","Census Tract 11.01, Lane County, Oregon","2276","181","2022","204","20","22","2002","207","1483","211","137","108","1632","196","403","147","292","114","105","76","0","17","55","50","199","117"
"1400000US41039001102","Census Tract 11.02, Lane County, Oregon","1362","133","1079","115","17","20","1062","111","811","114","99","52","820","110","206","69","200","77","23","22","0","12","109","66","174","67"
"1400000US41039001400","Census Tract 14, Lane County, Oregon","987","68","773","81","10","11","763","80","441","67","71","27","245","63","88","33","427","79","204","60","6","9","34","33","180","63"
"1400000US41039001700","Census Tract 17, Lane County, Oregon","2175","116","1857","154","29","33","1828","164","1314","177","270","118","1370","169","342","140","252","98","18","29","13","21","50","45","268","112"
"1400000US41039002401","Census Tract 24.01, Lane County, Oregon","1564","52","1468","67","0","12","1468","67","1165","105","101","51","1328","88","291","79","69","45","12","19","0","12","29","26","67","41"
"1400000US41039002902","Census Tract 29.02, Lane County, Oregon","1741","84","1440","118","21","18","1419","118","980","129","53","39","1340","119","427","96","66","36","0","12","0","12","135","67","166","75"
"1400000US41039003000","Census Tract 30, Lane County, Oregon","2060","103","1820","108","0","12","1820","108","1376","129","122","73","1681","117","437","106","34","30","7","12","0","12","35","31","205","70"
"1400000US41039003900","Census Tract 39, Lane County, Oregon","1893","142","1337","159","0","12","1337","159","1055","135","183","76","1145","150","255","81","26","23","0","12","9","15","235","80","321","117"
"1400000US41039000100","Census Tract 1, Lane County, Oregon","2338","136","2027","152","34","39","1993","153","1293","150","115","47","1634","163","583","145","275","79","63","37","5","8","64","38","247","101"
