"GEO_ID","id",
"S2802_C04_004E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!AGE!!65 years and over",
"S2802_C04_004M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!AGE!!65 years and over",
"S2802_C04_005E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C04_005M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C04_006E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C04_006M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C04_007E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C04_007M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C04_008E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C04_008M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C04_009E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C04_009M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C04_010E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C04_010M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C04_011E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C04_011M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C04_012E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C04_012M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C04_013E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C04_013M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C04_014E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C04_014M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C04_015E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C04_015M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C04_016E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C04_016M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C04_017E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C04_017M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C04_018E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C04_018M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C04_019E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
"S2802_C04_019M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
